Provinsi/Kabupaten/Kota,2019,2020
ACEH,69.87,69.93
Simeulue,65.22,65.26
Aceh Singkil,67.36,67.39
Aceh Selatan,64.27,64.35
Aceh Tenggara,68.04,68.14
Aceh Timur,68.67,68.72
Aceh Tengah,68.82,68.85
Aceh Barat,67.93,67.98
Aceh Besar,69.77,69.78
Pidie,66.89,66.94
Bireuen,71.16,71.22
Aceh Utara,68.79,68.8
Aceh Barat Daya,64.91,65
Gayo Lues,65.38,65.47
Aceh Tamiang,69.52,69.58
Nagan Raya,69.14,69.22
Aceh Jaya,67.11,67.16
Bener Meriah,69.19,69.22
Pidie Jaya,70.06,70.14
Kota Banda Aceh,71.36,71.45
Kota Sabang,70.45,70.51
Kota Langsa,69.37,69.42
Kota Lhokseumawe,71.52,71.6
Kota Subulussalam,63.94,64.02
SUMATERA UTARA,68.95,69.1
Nias,69.68,69.75
Mandailing Natal,62.51,62.6
Tapanuli Selatan,64.82,64.91
Tapanuli Tengah,67.08,67.15
Tapanuli Utara,68.46,68.63
Toba Samosir / Toba,69.93,70.08
Labuhan Batu,69.86,69.93
Asahan,68.11,68.26
Simalungun,71.07,71.22
Dairi,68.79,69
Karo,71.27,71.4
Deli Serdang,71.61,71.73
Langkat,68.59,68.8
Nias Selatan,68.58,68.74
Humbang Hasundutan,69.06,69.27
Pakpak Bharat,65.59,65.74
Samosir,71.16,71.27
Serdang Bedagai,68.46,68.68
Batu Bara,66.75,66.96
Padang Lawas Utara,67.06,67.17
Padang Lawas,66.98,67.09
Labuhan Batu Selatan,68.64,68.71
Labuhan Batu Utara,69.37,69.46
Nias Utara,69.29,69.43
Nias Barat,68.82,68.96
Kota Sibolga,68.77,69.01
Kota Tanjung Balai,63.02,63.27
Kota Pematang Siantar,73.33,73.55
Kota Tebing Tinggi,70.76,70.87
Kota Medan,72.98,73.14
Kota Binjai,72.25,72.38
Kota Padangsidimpuan,69.15,69.41
Kota Gunungsitoli,71.02,71.19
SUMATERA BARAT,69.31,69.47
Kepulauan Mentawai,64.68,64.73
Pesisir Selatan,70.73,70.86
Solok,68.34,68.58
Sijunjung,66.02,66.21
Tanah Datar,69.73,69.94
Padang Pariaman,68.58,68.79
Agam,72.17,72.37
Lima Puluh Kota,69.7,69.79
Pasaman,67.18,67.4
Solok Selatan,67.58,67.81
Dharmasraya,71.1,71.33
Pasaman Barat,67.67,67.82
Kota Padang,73.57,73.65
Kota Solok,73.45,73.61
Kota Sawah Lunto,69.87,70
Kota Padang Panjang,72.77,72.82
Kota Bukittinggi,74.22,74.38
Kota Payakumbuh,73.61,73.74
Kota Pariaman,70.15,70.28
RIAU,71.48,71.6
Kuantan Singingi,68.44,68.55
Indragiri Hulu,70.2,70.25
Indragiri Hilir,67.66,67.85
Pelalawan,71.03,71.16
Siak,71.03,71.11
Kampar,70.64,70.76
Rokan Hulu,69.89,70.06
Bengkalis,71.11,71.2
Rokan Hilir,70.17,70.3
Kepulauan Meranti,67.53,67.68
Kota Pekanbaru,72.22,72.34
Kota Dumai,70.82,70.93
JAMBI,71.06,71.16
Kerinci,69.82,69.93
Merangin,71.18,71.26
Sarolangun,69.09,69.17
Batang Hari,70.44,70.56
Muaro Jambi,71.18,71.27
Tanjung Jabung Timur,66.08,66.23
Tanjung Jabung Barat,68.03,68.12
Tebo,69.91,69.99
Bungo,67.61,67.74
Kota Jambi,72.57,72.65
Kota Sungai Penuh,72.01,72.11
SUMATERA SELATAN,69.65,69.88
Ogan Komering Ulu,68.01,68.2
Ogan Komering Ilir,68.41,68.61
Muara Enim,68.63,68.9
Lahat,65.76,66.04
Musi Rawas,67.86,68.14
Musi Banyuasin,68.54,68.75
Banyu Asin,68.76,68.97
Ogan Komering Ulu Selatan,66.76,67.04
Ogan Komering Ulu Timur,68.87,69.1
Ogan Ilir,65.21,65.48
Empat Lawang,64.81,65.08
Penukal Abab Lematang Ilir,68.07,68.27
Musi Rawas Utara,65.43,65.68
Kota Palembang,70.54,70.79
Kota Prabumulih,70.09,70.32
Kota Pagar Alam,66.41,66.71
Kota Lubuklinggau,69.04,69.25
BENGKULU,69.21,69.35
Bengkulu Selatan,67.79,67.9
Rejang Lebong,68.37,68.57
Bengkulu Utara,68.04,68.19
Kaur,66.5,66.63
Seluma,67.56,67.75
Mukomuko,66.51,66.64
Lebong,63.12,63.29
Kepahiang,67.78,67.95
Bengkulu Tengah,68.12,68.19
Kota Bengkulu,70.04,70.13
LAMPUNG,70.51,70.65
Lampung Barat,67.43,67.58
Tanggamus,68.4,68.56
Lampung Selatan,69.2,69.33
Lampung Timur,70.61,70.73
Lampung Tengah,69.75,69.84
Lampung Utara,69.05,69.21
Way Kanan,69.27,69.4
Tulangbawang,69.88,69.97
Pesawaran,68.88,69.04
Pringsewu,69.85,70.08
Mesuji,68.04,68.19
Tulang Bawang Barat,69.88,70
Pesisir Barat,63.27,63.5
Kota Bandar Lampung,71.28,71.37
Kota Metro,71.55,71.63
KEP. BANGKA BELITUNG,70.5,70.64
Bangka,70.99,71.06
Belitung,70.94,71.05
Bangka Barat,69.99,70.06
Bangka Tengah,71.16,71.36
Bangka Selatan,67.9,68.16
Belitung Timur,71.9,72.03
Kota Pangkal Pinang,73.17,73.3
KEPULAUAN RIAU,69.8,69.96
Karimun,70.71,70.91
Bintan,70.3,70.38
Natuna,64.81,65.06
Lingga,61.75,62.06
Kepulauan Anambas,67.06,67.21
Kota Batam,73.29,73.33
Kota Tanjung Pinang,72.02,72.1
DKI JAKARTA,72.79,72.91
Kep. Seribu,68.51,68.76
Kota Jakarta Selatan,74.03,74.12
Kota Jakarta Timur,74.37,74.47
Kota Jakarta Pusat,74.02,74.11
Kota Jakarta Barat,73.54,73.62
Kota Jakarta Utara,73.18,73.28
JAWA BARAT,72.85,73.04
Bogor,71.01,71.17
Sukabumi,70.73,70.97
Cianjur,69.91,70.13
Bandung,73.4,73.53
Garut,71.22,71.41
Tasikmalaya,69.21,69.47
Ciamis,71.57,71.83
Kuningan,73.35,73.59
Cirebon,71.82,71.99
Majalengka,69.97,70.27
Sumedang,72.29,72.43
Indramayu,71.37,71.63
Subang,72.13,72.35
Purwakarta,70.8,70.99
Karawang,71.98,72.15
Bekasi,73.56,73.68
Bandung Barat,72.18,72.34
Pangandaran,71.12,71.4
Kota Bogor,73.41,73.61
Kota Sukabumi,72.26,72.42
Kota Bandung,74.14,74.28
Kota Cirebon,72.13,72.26
Kota Bekasi,74.89,75.01
Kota Depok,74.31,74.44
Kota Cimahi,73.89,74.03
Kota Tasikmalaya,71.93,72.15
Kota Banjar,70.79,70.99
JAWA TENGAH,74.23,74.37
Cilacap,73.52,73.73
Banyumas,73.55,73.72
Purbalingga,73.02,73.14
Banjarnegara,74.01,74.18
Kebumen,73.22,73.4
Purworejo,74.52,74.72
Wonosobo,71.6,71.82
Magelang,73.56,73.72
Boyolali,75.83,75.95
Klaten,76.68,76.78
Sukoharjo,77.55,77.65
Wonogiri,76.07,76.16
Karanganyar,77.38,77.47
Sragen,75.62,75.71
Grobogan,74.61,74.75
Blora,74.23,74.41
Rembang,74.43,74.55
Pati,76.04,76.22
Kudus,76.5,76.6
Jepara,75.74,75.84
Demak,75.31,75.4
Semarang,75.63,75.73
Temanggung,75.48,75.58
Kendal,74.33,74.43
Batang,74.59,74.69
Pekalongan,73.57,73.69
Pemalang,73.22,73.4
Tegal,71.4,71.6
Brebes,69.04,69.33
Kota Magelang,76.75,76.85
Kota Surakarta,77.12,77.22
Kota Salatiga,77.22,77.4
Kota Semarang,77.25,77.34
Kota Pekalongan,74.28,74.38
Kota Tegal,74.34,74.46
D I YOGYAKARTA,74.92,74.99
Kulon Progo,75.2,75.24
Bantul,73.77,73.86
Gunung Kidul,74.03,74.12
Sleman,74.77,74.81
